freq, 1cpu, 2cpu, 3cpu, 4cpu
102000,1.6176209391250518,1.592938751266678,1.62491150078412,1.720715706113546
204000,1.6489202052420777,1.6983307262651917,1.784909530866271,1.9277767205943048
307200,2.280042200769804,1.7994290916131195,1.945723364119141,2.1385014517127527
403200,2.375992130450121,2.41928104867656,2.690227832119393,2.826547420553034
518400,2.336743409010729,2.53377182154027,2.8223552902803584,3.020443118654561
614400,2.37500718675196,2.6803584397892575,2.9473005062866022,3.201359099876187
710400,2.4138299153941394,2.7530311937942065,3.094100314435046,3.4114674207593887
825600,2.4968453342963266,2.8776676581096114,3.2562201775781365,3.5764489001238133
921600,2.576230454601734,2.9574579700258186,3.3976207866069923,3.80831924709984
1036800,2.58014183656624,3.1053653701643538,3.5447716158639273,3.9815188068510112
1132800,2.7003934139913253,3.1533897781202502,3.6941362502105086,4.17272941147338
1224000,2.65439561043435,3.2810096288633672,3.588901385781155,4.412016584193149
1326000,2.7638209799834916,3.5027817523062157,4.18566793455217,4.786061662195625
1428000,2.883156827899298,3.6724467685397038,4.516393022504645,5.212730329137433
